                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7262,                  3.552,                 1.5674,                0.00917,                0.04302,                0.00993,                0.00397,                 2.7335,                 3.4884,                 1.4708,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.6082,                 3.5236,                 1.5654,                0.00972,                0.04563,                0.01017,                0.00365,                 2.7267,                 3.4772,                 1.4721,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 2.6022,                 3.4699,                 1.4912,                0.02583,                0.12125,                 0.0227,                0.00941,                  2.495,                 3.4195,                 1.3409,             0.00015366,             0.00015366,             0.00015366
                      4,                 2.3377,                 3.1434,                 1.3047,                0.03194,                0.14993,                0.03225,                0.01327,                 2.2954,                 3.3815,                 1.2449,             0.00020693,             0.00020693,             0.00020693
                      5,                 2.1918,                 2.4594,                 1.1503,                   0.04,                0.18774,                0.04351,                0.01882,                 2.2183,                   3.28,                 1.1804,             0.00025782,             0.00025782,             0.00025782
                      6,                 2.2035,                 1.8676,                 1.1174,                0.05306,                0.24902,                0.11745,                0.04414,                 2.2142,                 3.0892,                 1.1411,             0.00030634,             0.00030634,             0.00030634
                      7,                 2.2442,                  1.708,                 1.1094,                0.07028,                0.32986,                0.17007,                0.05743,                 2.1989,                 2.8731,                 1.1044,             0.00035248,             0.00035248,             0.00035248
                      8,                 2.1729,                 1.5852,                 1.1137,                0.08056,                 0.3781,                 0.1802,                0.06224,                 2.2021,                 2.7929,                 1.1064,             0.00039624,             0.00039624,             0.00039624
                      9,                 2.1485,                  1.549,                 1.0985,                 0.0925,                0.43416,                0.21465,                 0.0779,                 2.1643,                  2.643,                 1.1225,             0.00043763,             0.00043763,             0.00043763
                     10,                 2.1971,                 1.4568,                 1.0677,                0.09917,                0.46545,                0.24354,                0.09422,                 2.1313,                 2.5779,                 1.1235,             0.00047664,             0.00047664,             0.00047664
                     11,                 2.0798,                 1.4816,                 1.0555,                  0.105,                0.49283,                0.26839,                0.10701,                 2.1174,                 2.4785,                 1.1215,             0.00051328,             0.00051328,             0.00051328
                     12,                  2.076,                 1.4489,                 1.0709,                0.10361,                0.48631,                0.28573,                0.10948,                 2.1555,                 2.4229,                 1.1444,             0.00054754,             0.00054754,             0.00054754
                     13,                 2.1252,                 1.3887,                 1.0713,                0.53845,                0.31941,                 0.3177,                0.12064,                 2.1783,                 2.2459,                 1.1509,             0.00057942,             0.00057942,             0.00057942
                     14,                 2.0727,                 1.3205,                 1.0552,                0.65787,                0.27327,                0.33243,                0.12875,                 2.1473,                 2.1729,                 1.1424,             0.00060893,             0.00060893,             0.00060893
                     15,                 2.0393,                 1.3639,                  1.059,                0.69198,                0.26947,                0.40317,                0.15289,                 2.0887,                 2.0074,                 1.1164,             0.00063606,             0.00063606,             0.00063606
                     16,                 2.0231,                  1.323,                 1.0596,                0.59864,                0.31812,                0.41588,                0.15155,                  2.108,                 1.9396,                 1.1127,             0.00066082,             0.00066082,             0.00066082
                     17,                 2.0819,                 1.3417,                   1.08,                0.53131,                0.40939,                0.40785,                0.14101,                 2.1609,                  1.857,                  1.124,              0.0006832,              0.0006832,              0.0006832
                     18,                  2.024,                 1.2856,                 1.0502,                  0.519,                0.40938,                0.38685,                0.12679,                 2.2397,                 1.8715,                 1.1458,              0.0007032,              0.0007032,              0.0007032
                     19,                 2.0216,                 1.3006,                 1.0626,                0.52822,                0.41982,                0.41228,                 0.1363,                 2.2393,                 1.8148,                 1.1504,             0.00072083,             0.00072083,             0.00072083
                     20,                 1.9557,                 1.2732,                 1.0508,                0.53291,                0.43583,                0.44869,                0.15628,                 2.1909,                 1.7286,                 1.1249,             0.00073608,             0.00073608,             0.00073608
                     21,                  1.971,                 1.2712,                 1.0653,                0.49309,                0.41218,                0.40704,                0.14095,                 2.2368,                 1.7253,                 1.1232,             0.00074896,             0.00074896,             0.00074896
                     22,                 1.9811,                 1.2482,                 1.0286,                0.41133,                0.36636,                0.31289,                0.10173,                 2.3595,                 1.8106,                 1.1486,             0.00075946,             0.00075946,             0.00075946
                     23,                 1.9718,                 1.2719,                 1.0375,                 0.3641,                 0.3442,                 0.2678,                0.08564,                 2.4365,                 1.8443,                 1.1591,             0.00076758,             0.00076758,             0.00076758
                     24,                 1.9744,                 1.2316,                 1.0284,                0.38289,                0.38263,                0.29865,                0.09825,                 2.3716,                 1.7892,                 1.1472,             0.00077333,             0.00077333,             0.00077333
                     25,                 1.9097,                 1.2093,                 1.0251,                0.42881,                0.41851,                 0.3604,                 0.1257,                 2.2442,                  1.716,                 1.1139,              0.0007767,              0.0007767,              0.0007767
                     26,                 1.9638,                  1.212,                 1.0334,                0.40732,                0.41982,                0.35733,                0.12142,                  2.276,                 1.6995,                 1.1234,              0.0007777,              0.0007777,              0.0007777
                     27,                 1.9371,                 1.2179,                 1.0397,                0.38746,                0.38331,                 0.3321,                0.11213,                  2.353,                 1.6894,                  1.134,             0.00077632,             0.00077632,             0.00077632
                     28,                 1.9417,                 1.2106,                 1.0542,                0.39197,                 0.3781,                0.32518,                0.10742,                 2.3525,                 1.6701,                 1.1312,             0.00077256,             0.00077256,             0.00077256
                     29,                 1.9376,                  1.208,                 1.0164,                0.39197,                 0.3781,                0.32518,                0.10742,                 2.3525,                 1.6701,                 1.1312,             0.00076643,             0.00076643,             0.00076643
                     30,                 1.9314,                 1.1821,                 1.0284,                 0.3897,                0.38462,                0.32654,                0.10845,                 2.3329,                 1.6752,                  1.124,             0.00075792,             0.00075792,             0.00075792
                     31,                 1.9494,                 1.2003,                 1.0232,                0.39044,                0.40156,                0.33702,                0.11426,                 2.2649,                 1.6569,                 1.1252,             0.00074704,             0.00074704,             0.00074704
