                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                  1.895,                 1.1958,                 1.0168,                 0.4137,                0.44198,                0.36104,                0.12705,                 2.1938,                 1.6183,                 1.1146,             0.00073378,             0.00073378,             0.00073378
                     33,                 1.9779,                 1.2492,                 1.0324,                 0.4137,                0.44198,                0.36104,                0.12705,                 2.1938,                 1.6183,                 1.1146,             0.00071814,             0.00071814,             0.00071814
                     34,                 1.8772,                 1.1934,                 1.0121,                0.37928,                0.44068,                0.33843,                0.12062,                 2.1928,                 1.6324,                 1.1152,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.9055,                  1.201,                 1.0139,                0.36381,                0.42503,                0.32099,                0.11684,                 2.1887,                 1.6469,                 1.1166,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.9154,                 1.2024,                 1.0079,                0.38323,                0.44198,                 0.3427,                0.12208,                 2.1925,                 1.5931,                 1.1402,               0.000614,               0.000614,               0.000614
                     37,                 1.8846,                 1.2006,                 1.0371,                0.38323,                0.44198,                 0.3427,                0.12208,                 2.1925,                 1.5931,                 1.1402,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.8795,                 1.1754,                 1.0314,                0.45093,                0.47326,                0.41087,                0.14645,                 2.1512,                 1.5044,                 1.1355,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.8933,                  1.163,                 1.0195,                0.48816,                0.46505,                0.45218,                0.16577,                  2.111,                 1.4472,                 1.1268,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.8484,                 1.1446,                 1.0299,                0.51819,                0.50065,                0.48888,                0.18316,                 2.0897,                  1.393,                 1.1171,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.9095,                 1.4086,                 1.0265,                0.51819,                0.50065,                0.48888,                0.18316,                 2.0897,                  1.393,                 1.1171,               0.000416,               0.000416,               0.000416
                     42,                 1.9147,                 1.3593,                 1.0327,                0.53699,                0.50847,                0.50421,                0.19326,                 2.0696,                 1.3586,                 1.1169,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.9374,                 1.3157,                  1.049,                0.53102,                0.55671,                0.51446,                0.20077,                 2.0517,                 1.3369,                 1.1183,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.9183,                 1.4406,                 1.0366,                0.54255,                0.55358,                0.51423,                0.20097,                 2.0424,                 1.3487,                 1.1182,              0.0002972,              0.0002972,              0.0002972
                     45,                  1.881,                 1.2868,                 1.0276,                0.54255,                0.55358,                0.51423,                0.20097,                 2.0424,                 1.3487,                 1.1182,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.8426,                 1.2603,                 1.0179,                0.54212,                0.55932,                0.52024,                 0.2069,                 1.9968,                 1.3434,                 1.1083,               0.000218,               0.000218,               0.000218
                     47,                 1.8599,                 1.2556,                 1.0171,                0.54736,                0.56063,                0.52762,                0.21137,                 1.9773,                 1.3411,                 1.1053,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.8799,                 1.2607,                 1.0084,                0.55851,                0.55749,                0.53673,                0.21189,                 1.9692,                 1.3488,                 1.0998,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.8524,                 1.2523,                 1.0037,                0.55851,                0.55749,                0.53673,                0.21189,                 1.9692,                 1.3488,                 1.0998,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.8128,                 1.2604,                 1.0019,                0.55277,                0.55273,                0.53252,                0.21062,                 1.9696,                 1.3549,                 1.1012,               5.96e-05,               5.96e-05,               5.96e-05
